"Verb","Present"
"divide",0
"point",1
"wash_up",0
"move",0
"set_up",0
"replace",1
"wash",0
"hold_on",0
"shake",0
"touch",0
"open",0
"find",1
"cut",0
"pull_out",0
"transfer",0
"swipe",1
"start",0
"spread",0
"fumble",1
"crack",1
"input",0
"kick",1
"grip",0
"plug",0
"distribute",0
"return",1
"insert",0
"put_down",0
"spoon",1
"lift",0
"press",0
"hold",1
"pull",1
"rotate",0
"flip",0
"remove",0
"untangle",0
"slide",1
"adjust",0
"grasp",1
"grab",1
"activate",1
"tap",0
"scan",1
"twist",1
"carry",0
"unlock",0
"switch_on",0
"pull_up",0
"close",0
"check",0
"examine",1
"fill",0
"screw",1
"hold_down",0
"turn_on",0
"scoop",1
"squeeze",0
"relax",1
"tip",0
"turn_off",0
"mix",1
"take",0
"swirl",1
"plug_in",0
"weaken",0
"stir",1
"step_on",0
"pick_up",0
"peel",0
"compress",0
"reach",1
"release",0
"spray",1
"press_down",0
"put",0
"pedal",0
"pour",0
"dry",0
"drain",1
"fill_up",0
"drive",1
"turn",1
"switch",1
"let_go",0
"place",0
"clean",0
"push",0
"position",0
"rinse",1
