"Verb","Present"
"divide",0
"point",0
"wash_up",0
"move",1
"set_up",0
"replace",1
"wash",0
"hold_on",0
"shake",0
"touch",1
"open",1
"find",1
"cut",0
"pull_out",1
"transfer",1
"swipe",1
"start",1
"spread",1
"fumble",0
"crack",1
"input",1
"kick",0
"grip",1
"plug",0
"distribute",0
"return",1
"insert",1
"put_down",1
"spoon",0
"lift",0
"press",0
"hold",1
"pull",1
"rotate",1
"flip",0
"remove",1
"untangle",0
"slide",1
"adjust",1
"grasp",1
"grab",1
"activate",1
"tap",1
"scan",1
"twist",1
"carry",0
"unlock",1
"switch_on",0
"pull_up",1
"close",1
"check",1
"examine",1
"fill",0
"screw",0
"hold_down",1
"turn_on",0
"scoop",0
"squeeze",1
"relax",0
"tip",0
"turn_off",0
"mix",0
"take",1
"swirl",0
"plug_in",1
"weaken",1
"stir",0
"step_on",0
"pick_up",1
"peel",0
"compress",1
"reach",1
"release",1
"spray",0
"press_down",1
"put",1
"pedal",0
"pour",0
"dry",0
"drain",0
"fill_up",0
"drive",0
"turn",1
"switch",1
"let_go",1
"place",1
"clean",1
"push",1
"position",1
"rinse",0
